"","id","region","flurname","kultur","installationshohe","zaun","jagddruck","E","N","datum_on","datum_off","modus","lautstaerke","intervall","ausrichtung_min","ausrichtung_max","phase"
"34","WSS_2015_13","felsenau","strickrai","mais",1.9,"nein","hoch",2657396.29358391,1271668.47676897,2015-08-07 00:01:00,2015-09-07 00:01:00,"standard v2",50,15,30,210,2
"35","WSS_2015_14","elfingen","aspoltern","mais",1.8,"ja","mittel",2650278.52057042,1261349.47570351,2015-08-07 00:01:00,2015-09-07 00:01:00,"standard v2",75,15,82,320,2
"36","WSS_2016_02a","buch am irchel","trotenacker","mais",1.8,"nein","gering",2688915.64486149,1268975.13041648,2016-05-04 00:01:00,2016-05-30 00:01:00,"aggressiv v3",50,15,60,300,2
"37","WSS_2016_02b","buch am irchel","trotenacker","mais",1.8,"nein","gering",2689079.40386514,1268860.21914754,2016-05-04 00:01:00,2016-05-30 00:01:00,"standard v3",50,20,45,225,2
"38","WSS_2016_03","buch am irchel","baracken","mais",1.8,"nein","gering",2689181.93370422,1266569.78240568,2016-05-04 00:01:00,2016-05-30 00:01:00,"aggressiv v3",50,15,100,225,2
"39","WSS_2016_04a","buch am irchel","maessjuchert","mais",1.8,"nein","gering",2689681.09728215,1266382.12046869,2016-05-04 00:01:00,2016-05-30 00:01:00,"aggressiv v3",50,15,180,270,2
"40","WSS_2016_04b","buch am irchel","maessjuchert","mais",1.8,"nein","gering",2689833.07856245,1266235.85290735,2016-05-04 00:01:00,2016-05-30 00:01:00,"standard v3",50,20,170,260,2
"41","WSS_2016_05","fanel","vor bruedersgrabe","weizen",1.8,"nein","gering",2574315.00194394,1204308.28658515,2016-06-15 00:01:00,2016-07-15 00:01:00,"aggressiv v3",50,15,60,240,2
"42","WSS_2016_06","fanel","schopf","weizen",1.8,"nein","gering",2570343.88301844,1206741.06860811,2016-06-15 00:01:00,2016-07-15 00:01:00,"standard v3",33,15,260,330,2
"43","WSS_2016_07a","felsenau","raegehalde","weizen",1.8,"nein","hoch",2656843.1441641,1271134.32985697,2016-06-23 00:01:00,2016-07-19 00:01:00,"aggressiv v3",100,15,190,350,2
"44","WSS_2016_07b","felsenau","raegehalde","weizen",1.8,"nein","hoch",2656930.87994406,1271072.16450747,2016-06-23 00:01:00,2016-07-19 00:01:00,"standard v3",100,20,180,340,2
"45","WSS_2016_08","felsenau","tannenacher","weizen",1.8,"nein","hoch",2656759.60376062,1269237.96313486,2016-06-23 00:01:00,2016-07-19 00:01:00,"aggressiv v3",100,15,20,230,2
"46","WSS_2016_09","felsenau","roggetueel","weizen",1.8,"nein","hoch",2655110.24747053,1267459.61249942,2016-07-05 00:01:00,2016-07-24 00:01:00,"aggressiv v3",100,15,50,230,2
"47","WSS_2016_10","felsenau","hinterbaenkler","weizen",1.8,"nein","hoch",2659081.12354425,1269587.82722194,2016-07-05 00:01:00,2016-07-24 00:01:00,"standard v3",50,15,110,190,2
"48","WSS_2016_11a","felsenau","holigsacher","mais",1.9,"nein","hoch",2656646.90760597,1271310.97406205,2016-08-16 00:01:00,2016-09-09 00:01:00,"aggressiv v3",100,20,30,220,2
"49","WSS_2016_11b","felsenau","holigsacher","mais",1.75,"nein","hoch",2656546.45419379,1271370.85968478,2016-08-16 00:01:00,2016-09-09 00:01:00,"aggressiv v3",100,15,60,240,2
"50","WSS_2016_12a","felsenau","au","mais",1.5,"nein","hoch",2659411.38265978,1266385.0315863,2016-08-16 00:01:00,2016-09-09 00:01:00,"standard v3",100,15,0,180,2
"51","WSS_2016_12b","felsenau","au","mais",1.8,"nein","hoch",2659336.77810181,1266442.04104754,2016-08-16 00:01:00,2016-09-09 00:01:00,"standard v3",100,20,110,280,2
"52","WSS_2016_13","fanel","tannenhof","mais",1.8,"nein","mittel",2570951.42326154,1205843.12555939,2016-09-29 00:01:00,2016-10-04 00:01:00,"aggressiv v3",50,15,160,260,2
"53","WSS_2017_03","fanel","schuer","zuckerrueben",1.9,"ja","gering",2570271.22309339,1206826.046671,2017-06-04 00:01:00,2017-07-01 00:01:00,"aggressive v3",33,20,260,310,2
"54","WSS_2017_04","fanel","schuer","zuckerrueben&zwiebeln",2,"ja","gering",2570299.66200747,1206726.15735034,2017-06-04 00:01:00,2017-07-01 00:01:00,"standard v3",33,35,170,270,2
"55","WSS_2017_05","cheyres","la croix","weizen",2,"nein","gering",2549490.01882202,1184326.4827582,2017-06-21 00:01:00,2017-07-06 00:01:00,"standars v3",50,20,45,315,2
"56","WSS_2017_06","cheyres","la croix","weizen",2,"nein","gering",2549626.15936556,1184328.42168214,2017-06-21 00:01:00,2017-07-06 00:01:00,"aggressive v3",50,30,90,315,2
"57","WSS_2017_07","fanel","gygerloch","weizen",0.6,"nein","gering",2570129.52868905,1206454.94349313,2017-07-01 00:01:00,2017-07-06 00:01:00,"standard v3",25,10,60,240,2
"58","WSS_2017_07","fanel","gygerloch","weizen",0.6,"nein","gering",2570129.52868905,1206454.94349313,2017-07-06 00:01:00,2017-07-30 00:01:00,"aggressive v3",25,10,60,240,2
"59","WSS_2017_08a","elfingen","kaesthal","mais",1.8,"nein","hoch",2651530.28452665,1260613.4169101,2017-08-12 00:01:00,2017-09-18 00:01:00,"aggressive v3",50,15,0,110,2
"60","WSS_2017_08b","elfingen","kaesthal","mais",1.6,"nein","hoch",2651498.67431588,1260517.39426811,2017-08-12 00:01:00,2017-09-18 00:01:00,"aggressive v3",50,25,90,200,2
"61","WSS_2017_09","fanel","reckholdern","karotten",1.8,"nein","gering",2570371.28150435,1206347.19317119,2017-08-23 00:01:00,2017-09-20 00:01:00,"standard v3",33,15,150,300,2
